Year,Industry,Age group,Characteristics,Male Participation Rate (%),Female Participation Rate (%),Difference (%)
1976,Accommodation and food services [72],15 to 24 years,Employment,40.04753416518123,59.863339275103975,-19.815805109922742
1976,Accommodation and food services [72],15 to 24 years,Full-time employment,40.384615384615394,59.557109557109555,-19.17249417249416
1976,Accommodation and food services [72],15 to 24 years,Part-time employment,49.21020656136088,60.3280680437424,-11.117861482381521
1976,Accommodation and food services [72],15 years and over,Employment,40.80077416233217,59.19922583766783,-18.398451675335664
1976,Accommodation and food services [72],15 years and over,Full-time employment,45.223700120918984,54.79357401969253,-9.569873898773544
1976,Accommodation and food services [72],15 years and over,Part-time employment,36.923353078441934,69.42649434571891,-32.50314126727697
1976,Accommodation and food services [72],25 to 54 years,Employment,40.87680626989958,59.04971834435464,-18.172912074455056
1976,Accommodation and food services [72],25 to 54 years,Full-time employment,47.086247086247084,52.972027972027966,-5.885780885780882
1976,Accommodation and food services [72],25 to 54 years,Part-time employment,37.79160186625195,91.91290824261276,-54.121306376360806
1976,Accommodation and food services [72],55 years and over,Employment,58.785018270401956,62.03410475030451,-3.2490864799025516
1976,Accommodation and food services [72],55 years and over,Full-time employment,75.11737089201877,61.42410015649451,13.693270735524258
1976,Accommodation and food services [72],55 years and over,Part-time employment,51.21951219512195,96.95121951219512,-45.73170731707317
1976,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Employment,79.50594693504118,28.03555090837799,51.470396026663195
1976,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Full-time employment,86.52058432934928,23.50597609561753,63.01460823373175
1976,"Agriculture [111-112, 1100, 1151-1152]",15 to 24 years,Part-time employment,64.23135464231355,47.30593607305935,16.925418569254198
1976,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Employment,76.08320758784221,26.284759646475536,49.798447941366675
1976,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Full-time employment,83.55315220258505,20.004982561036368,63.54816964154868
1976,"Agriculture [111-112, 1100, 1151-1152]",15 years and over,Part-time employment,47.15991079627443,63.557654466745376,-16.397743670470945
1976,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Employment,71.0991850526734,31.76903200159014,39.330153051083265
1976,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Full-time employment,80.31605856379271,23.944534820667755,56.37152374312495
1976,"Agriculture [111-112, 1100, 1151-1152]",25 to 54 years,Part-time employment,35.48830811554333,91.91884456671252,-56.43053645116919
1976,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Employment,84.67898832684826,20.914396887159533,63.76459143968872
1976,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Full-time employment,88.82618510158015,16.74191121143717,72.08427389014298
1976,"Agriculture [111-112, 1100, 1151-1152]",55 years and over,Part-time employment,57.751937984496124,43.02325581395349,14.728682170542633
1976,"Business, building and other support services [55, 56]",15 to 24 years,Employment,75.11148272017837,60.758082497212925,14.353400222965448
1976,"Business, building and other support services [55, 56]",15 to 24 years,Full-time employment,77.17391304347827,81.15942028985506,-3.985507246376798
1976,"Business, building and other support services [55, 56]",15 to 24 years,Part-time employment,74.57627118644069,55.084745762711876,19.491525423728817
1976,"Business, building and other support services [55, 56]",15 years and over,Employment,62.57744733581164,41.13073110285006,21.446716232961577
1976,"Business, building and other support services [55, 56]",15 years and over,Full-time employment,68.27637444279347,38.500908040283974,29.775466402509494
1976,"Business, building and other support services [55, 56]",15 years and over,Part-time employment,116.51031894934336,73.24108818011258,43.269230769230774
1976,"Business, building and other support services [55, 56]",25 to 54 years,Employment,59.74842767295596,49.0041928721174,10.744234800838562
1976,"Business, building and other support services [55, 56]",25 to 54 years,Full-time employment,67.11084191399152,58.7421764587119,8.368665455279618
1976,"Business, building and other support services [55, 56]",25 to 54 years,Part-time employment,34.78260869565218,89.13043478260869,-54.34782608695651
1976,"Business, building and other support services [55, 56]",55 years and over,Employment,91.54290429042904,58.04455445544554,33.49834983498349
1976,"Business, building and other support services [55, 56]",55 years and over,Full-time employment,95.28358208955223,40.298507462686565,54.98507462686566
1976,"Business, building and other support services [55, 56]",55 years and over,Part-time employment,76.0,64.0,12.0
1976,Construction [23],15 to 24 years,Employment,92.84966864318103,12.213696081850948,80.63597256133008
1976,Construction [23],15 to 24 years,Full-time employment,93.1189229618549,11.381201695337822,81.73772126651708
1976,Construction [23],15 to 24 years,Part-time employment,111.25265392781316,,
1976,Construction [23],15 years and over,Employment,93.14063531655783,6.8740371212676985,86.26659819529013
1976,Construction [23],15 years and over,Full-time employment,94.843617920541,6.283460129613975,88.56015779092704
1976,Construction [23],15 years and over,Part-time employment,63.44027551205366,67.97172376291464,-4.531448250860976
1976,Construction [23],25 to 54 years,Employment,93.07643446961677,8.410379466911332,84.66605500270543
1976,Construction [23],25 to 54 years,Full-time employment,95.20780787367038,6.528950542822678,88.67885733084769
1976,Construction [23],25 to 54 years,Part-time employment,86.9496855345912,104.00943396226414,-17.059748427672943
1976,Construction [23],55 years and over,Employment,94.01061410159211,24.601971190295675,69.40864291129644
1976,Construction [23],55 years and over,Full-time employment,95.74119574119572,24.324324324324323,71.4168714168714
1976,Construction [23],55 years and over,Part-time employment,152.05479452054794,,
1976,Educational services [61],15 to 24 years,Employment,38.27882037533513,65.09383378016086,-26.815013404825734
1976,Educational services [61],15 to 24 years,Full-time employment,36.74655047204066,69.49891067538127,-32.75236020334061
1976,Educational services [61],15 to 24 years,Part-time employment,121.50313152400834,72.96450939457203,48.538622129436305
1976,Educational services [61],15 years and over,Employment,46.597206827754384,53.41018251681076,-6.812975689056373
1976,Educational services [61],15 years and over,Full-time employment,50.734383294992035,49.24792072199611,1.4864625729959258
1976,Educational services [61],15 years and over,Part-time employment,30.979748221127533,74.38423645320198,-43.40448823207444
1976,Educational services [61],25 to 54 years,Employment,47.86651008025055,52.13348991974945,-4.266979839498902
1976,Educational services [61],25 to 54 years,Full-time employment,53.01852275325864,47.004344843356954,6.014177909901683
1976,Educational services [61],25 to 54 years,Part-time employment,43.12627291242362,90.73319755600814,-47.60692464358451
1976,Educational services [61],55 years and over,Employment,57.691247415575475,51.8538938662991,5.837353549276372
1976,Educational services [61],55 years and over,Full-time employment,63.256997455470746,46.08990670059372,17.167090754877023
1976,Educational services [61],55 years and over,Part-time employment,83.3984375,107.32421875,-23.92578125
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 to 24 years,Employment,24.04911650194669,78.07726864330637,-54.02815214135968
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 to 24 years,Full-time employment,25.392209657153114,79.09531502423263,-53.703105367079516
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 to 24 years,Part-time employment,53.846153846153854,118.26923076923079,-64.42307692307693
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 years and over,Employment,43.208820454329434,56.791179545670566,-13.582359091341132
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 years and over,Full-time employment,45.10191347753744,54.90848585690515,-9.806572379367715
1976,"Finance, insurance, real estate, rental and leasing [52, 53]",15 years and over,Part-time employment,42.175360710321854,85.58391910223209,-43.40855839191023
